time ,power
186750,7778.9478
186780,7787.5181
186810,7790.3384
186840,7787.2021
186870,7795.4141
186900,7809.2783
186930,7809.5
186960,7802.1245
186990,7806.9229
187020,7813.6382
187050,7807.189
187080,7810.4351
187110,7798.9316
187140,7795.0859
187170,7803.8657
187200,7796.063
187230,7853.3018
187260,7846.1333
187290,7851.75
187320,7853.5723
187350,7858.835
187380,7868.9331
187410,7868.7065
187440,7849.0552
187470,7836.2651
187500,7835.1511
187530,7834.0371
187560,7809.7935
187590,7777.5806
187620,7774.9546
187650,7785.3643
187680,7789.0259
187710,7779.7314
187740,7785.7065
187770,7080.9458
187800,6376.1851
187830,6377.5029
187860,6384.5396
187890,6387.835
187920,6387.1406
187950,6378.6138
187980,6378.2246
188010,6380.1689
188040,6383.4209
188070,6383.4204
188100,6374.9341
188130,6383.2114
188160,6386.3423
188190,6394.6489
188220,6390.543
188250,6390.8662
188280,6402.8457
188310,6414.4922
188340,6418.4146
188370,6419.584
188400,6426.812
188430,6425.873
188460,6427.9595
188490,6421.9014
188520,6414.853
188550,6405.3291
188580,6401.8804
188610,6400.2627
188640,6396.7822
188670,6409.7891
188700,6412.4941
188730,6423.0815
188760,6417.0889
188790,6422.0723
188820,6417.144
188850,6402.5732
188880,6403.7251
188910,6405.0601
188940,6403.4731
188970,6409.5068
189000,6395.2305
189030,6388.2568
189060,6378.8867
189090,6378.4971
189120,6381.0356
189150,6380.1904
189180,6390.479
189210,6400.3779
189240,6403.2324
189270,6400.6655
189300,6401.1787
189330,6450.3716
189360,6614.7476
189390,6623.6294
189420,6626.3022
189450,6623.4634
189480,6634.4224
189510,6632.25855
189540,6630.0947
189570,6626.0225
189600,6625.2163
189630,6608.5366
189660,6554.47975
189690,6500.4229
189720,6500.1855
189750,6497.6128
189780,6506.564
189810,6510.0708
189840,6512.6196
189870,6514.8457
189900,6508.4961
189930,6526.1836
189960,6508.6001
189990,6507.3882
190020,6514.3843
190050,6502.4282
190080,6500.5547
190110,6500.9375
190140,6498.9888
190170,6471.9814
190200,6458.1265
190230,6448.4746
190260,6446.6445
190290,6447.8052
190320,6440.8389
190350,6442.4805
190380,6437.7051
190410,6437.1748
190440,6465.5239
190470,6489.2534
190500,6493.3057
190530,6497.6309
190560,6503.6958
190590,6497.1987
190620,6489.8477
190650,6493.9502
190680,6498.3184
190710,6508.2451
190740,6498.019
190770,6504.9243
190800,6495.0024
190830,6496.1421
190860,6499.9756
190890,6432.7651
190920,6438.2363
190950,6412.1118
190980,6388.499
191010,6370.5747
191040,6368.8325
191070,6366.1274
191100,6367.5122
191130,6368.1943
191160,6342.7598
191190,6351.7651
191220,6353.9121
191250,6343.3911
191280,6347.4497
191310,6351.478
191340,6353.126
191370,6350.5762
191400,6353.1914
191430,6355.8066
191460,6356.4976
191490,6349.1797
191520,6346.8726
191550,6350.689
191580,6350.2168
191610,6348.1367
191640,6387.6611
191670,6395.438
191700,6374.5659
191730,6359.5459
191760,6362.2705
191790,6405.3755
191820,6409.71
191850,6414.1577
191880,6419.7261
191910,6413.0317
191940,6419.2798
191970,6408.3843
192000,6412.958
192030,6410.2559
192060,6403.9595
192090,6400.09645
192120,6396.2334
192150,6401.7212
192180,6400.7197
192210,6369.0752
192240,6353.2759
192270,6343.731
192300,6391.2974
192330,6386.0669
192360,6398.6191
192390,6384.0913
192420,6383.5767
192450,6385.5137
192480,6390.7773
192510,6395.4561
192540,6403.6328
192570,6399.0537
192600,6389.4453
192630,6394.3438
192660,6397.0127
192690,6389.7617
192720,6392.6079
192750,6387.085
192780,6396.9902
192810,6384.1528
192840,6382.9551
192870,6384.6001
192900,6383.519
192930,6394.1309
192960,6398.6997
192990,6400.6021
193020,6394.8394
193050,6401.2031
193080,6444.0303
193110,6443.188
193140,6440.6504
193170,6438.1128
193200,6432.4517
193230,6422.4116
193260,6421.5405
193290,6417.6855
193320,6422.4126
193350,6432.5488
193380,6430.7827
193410,36613.105
193440,32984.945
193470,34020.148
193500,33218.121
193530,29683.92
193560,28598.535
193590,29724.549
193620,29716.336
193650,28257.904
193680,32154.586
193710,32199.121
193740,33226.961
193770,30682.459
193800,30374.396
193830,32016.953
193860,30746.48
193890,29159.641
193920,29167.326
193950,31491.205
193980,29892.777
194010,32009.539
194040,30164.859
194070,26762.598
194100,30068.758
194130,28643.836
194160,25977.766
194190,28526.488
194220,28193.299
194250,29680.307
194280,27201.049
194310,28570.604
194340,27670.094
194370,26618.336
194400,28180.007
194430,29741.678
194460,28123.873
194490,29473.988
194520,28442.654
194550,26212.242
194580,27310.008
194610,27971.047
194640,29964.479
194670,33151.152
194700,33714.051
194730,34454.059
194760,34128.145
194790,32298.082
194820,32323.844
194850,32259.098
194880,33004.926
194910,33593.178
194940,34181.43
194970,31193.506
195000,30719.408
195030,32848.532
195060,34977.656
195090,35612.223
195120,37282.859
195150,36751.242
195180,37266.203
195210,39563.723
195240,45559.516
195270,42597.953
195300,44771.41
195330,46860.934
195360,47172.926
195390,49954.766
195420,51426.387
195450,48340.748
195480,45255.109
195510,45780.316
195540,45426.059
195570,46466.98
195600,46823.73
195630,48328.074
195660,49975.145
195690,48644.168
195720,47865.824
195750,50591.746
195780,51951.898
195810,49314.203
195840,49956.844
195870,48355.695
195900,46579.121
195930,54137.469
195960,50793.621
195990,50953.891
196020,49182.441
196050,50840.828
196080,48266.957
196110,49510.801
196140,47133.645
196170,49011.512
196200,47661.043
196230,53397.98
196260,50458.203
196290,49688.754
196320,44228.949
196350,46747.164
196380,47464.41
196410,49600.949
196440,49742.602
196470,48063.75
196500,46384.898
196530,45222.887
196560,50017.672
196590,49970.945
196620,49058.074
196650,48927.445
196680,51313.254
196710,51484.4395
196740,51655.625
196770,47888.953
196800,49614.141
196830,47607.41
196860,46793.57
196890,46497.922
196920,47204.324
196950,53502.105
196980,51996.77
197010,5848.1099
197040,5850.9102
197070,5851.5234
197100,5835.9116
197130,5826.2007
197160,5817.6606
197190,5808.5898
197220,5808.7173
197250,5802.9673
197280,5805.272
197310,5806.3716
197340,5804.5308
197370,5809.0781
197400,5804.7861
197430,5794.1133
197460,5785.5664
197490,5789.1343
197520,5792.0996
197550,5793.8867
197580,5790.4409
197610,5790.1416
197640,5799.3442
197670,5794.2236
197700,5788.3096
197730,5791.2686
197760,5824.6191
197790,5826.5376
197820,5807.6709
197850,5791.7861
197880,5793.4297
197910,5798.645
197940,5794.0669
197970,5794.4858
198000,5795.0278
198030,5796.8296
198060,5795.2021
198090,5797.291
198120,5793.481
198150,5795.6567
198180,5790.8384
198210,5790.7666
198240,5797.4219
198270,5794.436
198300,5803.3032
198330,5800.5977
198360,5803.7036
198390,5798.7715
